"date","beat_start_time","consumption_kWh"
"20/12/2023","15:00",.037
"20/12/2023","15:15",.04
"20/12/2023","15:30",.251
"20/12/2023","15:45",.803
"20/12/2023","16:00",.74
"20/12/2023","16:15",.727
"20/12/2023","16:30",.772
"20/12/2023","16:45",.85
"20/12/2023","17:00",.625
"20/12/2023","17:15",.126
"20/12/2023","17:30",.123
"20/12/2023","17:45",.235
"20/12/2023","18:00",.659
"20/12/2023","18:15",.647
"20/12/2023","18:30",.12
"20/12/2023","18:45",.098
"20/12/2023","19:00",.105
"20/12/2023","19:15",.075
"20/12/2023","19:30",.165
"20/12/2023","19:45",.134
"20/12/2023","20:00",.126
"20/12/2023","20:15",.158
"20/12/2023","20:30",.135
"20/12/2023","20:45",.076
"20/12/2023","21:00",.069
"20/12/2023","21:15",.098
"20/12/2023","21:30",.08
"20/12/2023","21:45",.083
"20/12/2023","22:00",.067
"20/12/2023","22:15",.079
"20/12/2023","22:30",.06
"20/12/2023","22:45",.064
"20/12/2023","23:00",.037
"20/12/2023","23:15",.038
"20/12/2023","23:30",.045
"20/12/2023","23:45",.046
"21/12/2023","00:00",.03
"21/12/2023","00:15",.042
"21/12/2023","00:30",.051
"21/12/2023","00:45",.052
"21/12/2023","01:00",.057
"21/12/2023","01:15",.038
"21/12/2023","01:30",.05
"21/12/2023","01:45",.05
"21/12/2023","02:00",.04
"21/12/2023","02:15",.036
"21/12/2023","02:30",.047
"21/12/2023","02:45",.048
"21/12/2023","03:00",.044
"21/12/2023","03:15",.033
"21/12/2023","03:30",.035
"21/12/2023","03:45",.051
"21/12/2023","04:00",.046
"21/12/2023","04:15",.036
"21/12/2023","04:30",.042
"21/12/2023","04:45",.043
"21/12/2023","05:00",.029
"21/12/2023","05:15",.04
"21/12/2023","05:30",.047
"21/12/2023","05:45",.044
"21/12/2023","06:00",.046
"21/12/2023","06:15",.802
"21/12/2023","06:30",.76
"21/12/2023","06:45",.075
"21/12/2023","07:00",.085
"21/12/2023","07:15",.069
"21/12/2023","07:30",.107
"21/12/2023","07:45",.121
"21/12/2023","08:00",.096
"21/12/2023","08:15",.087
"21/12/2023","08:30",.099
"21/12/2023","08:45",.081
"21/12/2023","09:00",.113
"21/12/2023","09:15",.079
"21/12/2023","09:30",.069
"21/12/2023","09:45",.086
"21/12/2023","10:00",.102
"21/12/2023","10:15",.076
"21/12/2023","10:30",.078
"21/12/2023","10:45",.102
"21/12/2023","11:00",.102
"21/12/2023","11:15",.088
"21/12/2023","11:30",.072
"21/12/2023","11:45",.082
"21/12/2023","12:00",.118
"21/12/2023","12:15",.174
"21/12/2023","12:30",.104
"21/12/2023","12:45",.546
"21/12/2023","13:00",.244
"21/12/2023","13:15",.141
"21/12/2023","13:30",.136
"21/12/2023","13:45",.133
"21/12/2023","14:00",.146
"21/12/2023","14:15",.152
"21/12/2023","14:30",.124
"21/12/2023","14:45",.159
"21/12/2023","15:00",.113
"21/12/2023","15:15",.121
"21/12/2023","15:30",.099
"21/12/2023","15:45",.109
"21/12/2023","16:00",.131
"21/12/2023","16:15",.139
"21/12/2023","16:30",.768
"21/12/2023","16:45",.84
"21/12/2023","17:00",.672
"21/12/2023","17:15",.141
"21/12/2023","17:30",.135
"21/12/2023","17:45",.168
"21/12/2023","18:00",.164
"21/12/2023","18:15",.137
"21/12/2023","18:30",.707
"21/12/2023","18:45",1.179
"21/12/2023","19:00",1.323
"21/12/2023","19:15",.679
"21/12/2023","19:30",.439
"21/12/2023","19:45",.465
"21/12/2023","20:00",.147
"21/12/2023","20:15",.148
"21/12/2023","20:30",.164
"21/12/2023","20:45",.16
"21/12/2023","21:00",.145
"21/12/2023","21:15",.136
"21/12/2023","21:30",.117
"21/12/2023","21:45",.12
"21/12/2023","22:00",.098
"21/12/2023","22:15",.081
"21/12/2023","22:30",.093
"21/12/2023","22:45",.093
"21/12/2023","23:00",.098
"21/12/2023","23:15",.094
"21/12/2023","23:30",.118
"21/12/2023","23:45",.117
"22/12/2023","00:00",.088
"22/12/2023","00:15",.126
"22/12/2023","00:30",.063
"22/12/2023","00:45",.057
"22/12/2023","01:00",.055
"22/12/2023","01:15",.04
"22/12/2023","01:30",.047
"22/12/2023","01:45",.048
"22/12/2023","02:00",.048
"22/12/2023","02:15",.038
"22/12/2023","02:30",.053
"22/12/2023","02:45",.076
"22/12/2023","03:00",.052
"22/12/2023","03:15",.042
"22/12/2023","03:30",.052
"22/12/2023","03:45",.078
"22/12/2023","04:00",.105
"22/12/2023","04:15",.055
"22/12/2023","04:30",.065
"22/12/2023","04:45",.061
"22/12/2023","05:00",.06
"22/12/2023","05:15",.035
"22/12/2023","05:30",.044
